UUID,EVENT_READ,EVENT_OPEN,EVENT_CHECK_FILE_ATTRIBUTES,EVENT_CREATE_OBJECT,EVENT_CLOSE,EVENT_LOADLIBRARY,EVENT_UNLINK,EVENT_OTHER,EVENT_RENAME,EVENT_RECVFROM,EVENT_SENDTO,EVENT_CONNECT,EVENT_MODIFY_FILE_ATTRIBUTES,EVENT_BIND,EVENT_WRITE
285d5fed-06dc-32ae-a04a-13cc9426616b,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1
1e3548c0-b030-3591-97ac-71b67bbcb305,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
b4f1724e-0ba1-316b-973f-69e5d5e3490c,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
e2a4e818-3ce2-3626-8e22-134b542d1d77,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d3c6e305-36b4-3b4d-ab5a-cae9137e55ab,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
c041f748-bd8d-39c6-832f-b7ca25eaa2f9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
a9a53a3e-29de-34cf-a5a0-193b0c1b003a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d936f338-1bdd-34fd-8bae-9000cd077e69,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1
69eef370-d3ef-3042-a87c-d36955969322,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
3acb7c63-64d2-3361-8360-037f4249200a,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1
438a03a7-f1ee-3b24-b3ef-6d1d0ed5e70d,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1
da93e9c1-c100-39ce-b8fe-891b513e7577,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
a9c1b48c-a7e4-393e-a510-78f7b71447eb,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7d076fcf-3a4d-32cc-bc77-c9f599b43dd7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
de4cb639-75bd-3e29-a26e-89cf96f1bfc7,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
a70cfc16-5d62-3b60-bd0c-df9148089dea,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4d657cee-8982-3ebb-8f62-391ce978be89,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
7a16862c-73ce-3c07-902f-0e5d2ed336a0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
046c92f5-2a59-35d9-b40d-5d1822c7876d,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
ddc752c0-928c-3dac-99a1-ead665a18bd3,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1
d44e7ba1-fe4f-38a2-bfe5-ab9f2c27ec4b,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
b9eba8c2-e338-333a-9c85-8b0b72fbbe78,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
acb3904a-6f89-3711-839e-ad78862fc37b,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
cb3c0bf5-cd80-3e39-b10f-ca8248cd93c7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2079420d-f477-398e-9521-6d1a6f7c5e3c,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8f48556c-e0ed-38a0-99d0-8d8be9585331,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
9bfb01fb-4c5f-30ff-949c-599601034910,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
9293b986-d832-3f43-a55a-826abd7d60cf,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
c24028d4-67e0-3ba0-be37-bf881ead4d8f,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c63f24ae-37df-3540-95fe-5ae83b34d229,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
0f2ec3a0-f60e-3fd4-b097-eb8caf2849f6,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1
685c7dbe-d244-32d8-9a8c-20eb43007c5c,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
bd5a8448-c9ee-3204-b34d-3a5e8b2227bd,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
8fc7836c-5e58-3843-8cdc-c75b088caaa8,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
15af5556-7e10-36ab-a7cd-e2a40ae4a315,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1
3cb122a5-eb08-356c-bfc4-78c38b246106,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1
89d98459-ad9b-3298-8b5e-7895f1cbc85c,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
915e7a4c-21fd-3c21-8ad8-f24607524110,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1
4c875820-a6a2-367d-9096-9dd8eb1714ab,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
cf8de800-e1f5-3379-b10b-ff8ed858a07d,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
b3156b19-8c6d-31fc-ba7c-da4b0e3fe6c8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7d23be43-8787-3024-9722-26ff53569c6c,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
576f1f26-3c53-39be-8005-c26c99854de1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
f8a7076f-10dd-3b91-ba20-6b445782a065,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
73c2d78b-b2cb-32e1-a70b-9fd52b9e4888,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
442a5544-786e-38a8-99f7-95434e8b097b,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
decf032e-a967-3ecd-9453-1da2552c6334,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
42c26ca7-063e-37d6-a83a-5619d0162d86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
fe343361-815d-3397-b614-3094b752c79d,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
f1bb7e1f-a8e3-39cc-b2e5-0440ec64bc97,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
20af227e-f1f5-38a4-9b10-32ce73657efc,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
d005ae3e-1c65-36dd-b8c7-678b3cd6c1f6,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
19851212-0336-3565-95ba-a1a723919abe,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
5e01e71a-2a76-39a5-a648-aa0887fecea9,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
0231eb3b-34a7-37e4-bfe6-95b349b650e9,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
d384c88a-6689-3aff-83a3-ee615d516f96,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
f073b406-bfd8-3303-9474-a121812e4412,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
06d99589-5cb6-35d5-884c-ecacd6e8db8a,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
f9970ea2-d19c-3b52-b693-efafcbc95c65,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
c1464cd1-3423-37dc-b19e-1332a3e06c92,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
142c030d-bdb0-3b7f-8e94-a72d2834e6aa,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
323a0860-0fdf-30a3-a88e-73855477af1b,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1
02a5d163-403a-3b96-b7cd-cbbebafa137b,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
19076fe4-7f6b-38f8-9e9c-29dc92dda8fe,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
c7265dd5-f511-330e-9e74-81b469edba4a,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
395265f4-4425-380f-9175-2d98d3bd4959,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
eb33964d-139b-367f-a698-286ae8e4735c,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1
d72595a5-a90f-3b4e-a2c0-04532494cf24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c27ba9ad-fec7-3d07-a8c3-37de47909a3e,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1